transaction_id,business_id,business_name,date,time,datetime,amount,client_id,client_name,vendor_id,vendor_name,weekday,month,year,hour
TXN000001,NEG001,Tienda de Carmita,2025-04-01,12:15:57,2025-04-01 12:15:34,10.53,CLI005,Luis Toapanta,VEN001,Carmita Suárez,Tuesday,4,2025,12
TXN000002,NEG001,Tienda de Carmita,2025-04-01,12:02:01,2025-04-01 12:02:35,4.44,CLI002,Juan Pérez,VEN001,Carmita Suárez,Tuesday,4,2025,12
TXN000003,NEG001,Tienda de Carmita,2025-04-01,13:44:51,2025-04-01 13:44:55,20.67,CLI002,Juan Pérez,VEN001,Carmita Suárez,Tuesday,4,2025,13
TXN000004,NEG001,Tienda de Carmita,2025-04-01,11:44:48,2025-04-01 11:44:21,16.81,CLI002,Juan Pérez,VEN001,Carmita Suárez,Tuesday,4,2025,11
TXN000005,NEG001,Tienda de Carmita,2025-04-01,12:06:02,2025-04-01 12:06:46,14.81,CLI002,Juan Pérez,VEN001,Carmita Suárez,Tuesday,4,2025,12
TXN000006,NEG001,Tienda de Carmita,2025-04-01,08:59:39,2025-04-01 08:59:56,15.42,CLI004,Rosa Molina,VEN002,Josué Intriago,Tuesday,4,2025,8
TXN000007,NEG001,Tienda de Carmita,2025-04-02,10:04:05,2025-04-02 10:04:54,4.94,CLI002,Juan Pérez,VEN001,Carmita Suárez,Wednesday,4,2025,10
TXN000008,NEG001,Tienda de Carmita,2025-04-02,11:24:23,2025-04-02 11:24:22,12.26,CLI004,Rosa Molina,VEN001,Carmita Suárez,Wednesday,4,2025,11
TXN000009,NEG001,Tienda de Carmita,2025-04-02,12:44:10,2025-04-02 12:44:34,33.0,CLI004,Rosa Molina,VEN001,Carmita Suárez,Wednesday,4,2025,12
TXN000010,NEG001,Tienda de Carmita,2025-04-02,15:29:35,2025-04-02 15:29:14,15.45,CLI009,Miguel Ríos,VEN001,Carmita Suárez,Wednesday,4,2025,15
TXN000011,NEG001,Tienda de Carmita,2025-04-02,14:14:04,2025-04-02 14:14:13,29.39,CLI006,Ana Torres,VEN001,Carmita Suárez,Wednesday,4,2025,14
TXN000012,NEG001,Tienda de Carmita,2025-04-02,16:56:56,2025-04-02 16:56:58,26.11,CLI002,Juan Pérez,VEN001,Carmita Suárez,Wednesday,4,2025,16
