transaction_id,business_id,business_name,date,time,datetime,amount,client_id,client_name,vendor_id,vendor_name,weekday,month,year,hour
TXN004703,NEG003,Bazar de Lucía,2025-04-01,12:38:58,2025-04-01 12:38:21,25.03,CLI206,Lorena Aguirre,VEN101,Lucía Mendoza,Tuesday,4,2025,12
TXN004704,NEG003,Bazar de Lucía,2025-04-01,11:52:11,2025-04-01 11:52:29,22.85,CLI204,Sandra Pinto,VEN101,Lucía Mendoza,Tuesday,4,2025,11
TXN004705,NEG003,Bazar de Lucía,2025-04-01,16:45:14,2025-04-01 16:45:05,34.88,CLI204,Sandra Pinto,VEN101,Lucía Mendoza,Tuesday,4,2025,16
TXN004706,NEG003,Bazar de Lucía,2025-04-02,13:34:58,2025-04-02 13:34:22,37.32,CLI210,Verónica Tapia,VEN101,Lucía Mendoza,Wednesday,4,2025,13
TXN004707,NEG003,Bazar de Lucía,2025-04-02,17:57:30,2025-04-02 17:57:07,48.86,CLI201,Tomás Flores,VEN102,Byron Chica,Wednesday,4,2025,17
TXN004708,NEG003,Bazar de Lucía,2025-04-02,17:27:52,2025-04-02 17:27:57,8.71,CLI208,Diana Salazar,VEN102,Byron Chica,Wednesday,4,2025,17
TXN004709,NEG003,Bazar de Lucía,2025-04-02,11:11:44,2025-04-02 11:11:21,38.5,CLI208,Diana Salazar,VEN101,Lucía Mendoza,Wednesday,4,2025,11
TXN004710,NEG003,Bazar de Lucía,2025-04-03,13:42:20,2025-04-03 13:42:47,45.2,CLI205,Héctor Zambrano,VEN101,Lucía Mendoza,Thursday,4,2025,13
TXN004711,NEG003,Bazar de Lucía,2025-04-03,14:36:38,2025-04-03 14:36:54,27.37,CLI203,Ricardo Mejía,VEN101,Lucía Mendoza,Thursday,4,2025,14
TXN004712,NEG003,Bazar de Lucía,2025-04-03,10:06:51,2025-04-03 10:06:35,42.43,CLI207,César Muñoz,VEN103,Karen Soto,Thursday,4,2025,10
TXN004713,NEG003,Bazar de Lucía,2025-04-03,12:01:09,2025-04-03 12:01:28,43.98,CLI206,Lorena Aguirre,VEN101,Lucía Mendoza,Thursday,4,2025,12
TXN004714,NEG003,Bazar de Lucía,2025-04-04,14:49:00,2025-04-04 14:49:35,52.74,CLI201,Tomás Flores,VEN103,Karen Soto,Friday,4,2025,14
TXN004715,NEG003,Bazar de Lucía,2025-04-04,18:57:58,2025-04-04 18:57:02,51.69,CLI209,Roberto Naranjo,VEN101,Lucía Mendoza,Friday,4,2025,18
TXN004716,NEG003,Bazar de Lucía,2025-04-04,10:56:07,2025-04-04 10:56:49,24.17,CLI209,Roberto Naranjo,VEN101,Lucía Mendoza,Friday,4,2025,10
TXN004717,NEG003,Bazar de Lucía,2025-04-04,12:12:03,2025-04-04 12:12:00,25.84,CLI204,Sandra Pinto,VEN102,Byron Chica,Friday,4,2025,12
TXN004718,NEG003,Bazar de Lucía,2025-04-04,17:12:08,2025-04-04 17:12:42,19.98,CLI203,Ricardo Mejía,VEN101,Lucía Mendoza,Friday,4,2025,17
TXN004719,NEG003,Bazar de Lucía,2025-04-04,17:40:14,2025-04-04 17:40:00,36.78,CLI204,Sandra Pinto,VEN101,Lucía Mendoza,Friday,4,2025,17
TXN004720,NEG003,Bazar de Lucía,2025-04-05,16:17:15,2025-04-05 16:17:46,26.47,CLI201,Tomás Flores,VEN101,Lucía Mendoza,Saturday,4,2025,16
TXN004721,NEG003,Bazar de Lucía,2025-04-05,18:38:54,2025-04-05 18:38:38,46.53,CLI204,Sandra Pinto,VEN102,Byron Chica,Saturday,4,2025,18
TXN004722,NEG003,Bazar de Lucía,2025-04-05,11:29:25,2025-04-05 11:29:59,10.78,CLI208,Diana Salazar,VEN101,Lucía Mendoza,Saturday,4,2025,11
TXN004723,NEG003,Bazar de Lucía,2025-04-05,09:58:43,2025-04-05 09:58:31,48.07,CLI207,César Muñoz,VEN101,Lucía Mendoza,Saturday,4,2025,9
TXN004724,NEG003,Bazar de Lucía,2025-04-05,17:56:32,2025-04-05 17:56:23,33.55,CLI203,Ricardo Mejía,VEN102,Byron Chica,Saturday,4,2025,17
TXN004725,NEG003,Bazar de Lucía,2025-04-05,19:35:06,2025-04-05 19:35:34,52.34,CLI204,Sandra Pinto,VEN101,Lucía Mendoza,Saturday,4,2025,19
TXN004726,NEG003,Bazar de Lucía,2025-04-05,13:49:15,2025-04-05 13:49:03,17.92,CLI205,Héctor Zambrano,VEN101,Lucía Mendoza,Saturday,4,2025,13
TXN004727,NEG003,Bazar de Lucía,2025-04-05,18:00:18,2025-04-05 18:00:39,40.48,CLI204,Sandra Pinto,VEN101,Lucía Mendoza,Saturday,4,2025,18
TXN004728,NEG003,Bazar de Lucía,2025-04-05,18:39:19,2025-04-05 18:39:50,51.73,CLI209,Roberto Naranjo,VEN101,Lucía Mendoza,Saturday,4,2025,18
TXN004729,NEG003,Bazar de Lucía,2025-04-05,13:20:55,2025-04-05 13:20:51,30.44,CLI208,Diana Salazar,VEN101,Lucía Mendoza,Saturday,4,2025,13
TXN004730,NEG003,Bazar de Lucía,2025-04-05,13:17:37,2025-04-05 13:17:57,11.07,CLI209,Roberto Naranjo,VEN101,Lucía Mendoza,Saturday,4,2025,13
TXN004731,NEG003,Bazar de Lucía,2025-04-05,11:47:21,2025-04-05 11:47:18,28.43,CLI203,Ricardo Mejía,VEN102,Byron Chica,Saturday,4,2025,11
TXN004732,NEG003,Bazar de Lucía,2025-04-06,13:49:44,2025-04-06 13:49:25,29.86,CLI203,Ricardo Mejía,VEN101,Lucía Mendoza,Sunday,4,2025,13
TXN004733,NEG003,Bazar de Lucía,2025-04-06,09:59:41,2025-04-06 09:59:58,49.02,CLI202,Natalia Cruz,VEN101,Lucía Mendoza,Sunday,4,2025,9
TXN004734,NEG003,Bazar de Lucía,2025-04-06,17:13:40,2025-04-06 17:13:45,55.65,CLI204,Sandra Pinto,VEN103,Karen Soto,Sunday,4,2025,17
TXN004735,NEG003,Bazar de Lucía,2025-04-06,18:47:36,2025-04-06 18:47:27,7.98,CLI207,César Muñoz,VEN101,Lucía Mendoza,Sunday,4,2025,18
TXN004736,NEG003,Bazar de Lucía,2025-04-06,14:32:59,2025-04-06 14:32:43,52.03,CLI204,Sandra Pinto,VEN102,Byron Chica,Sunday,4,2025,14
TXN004737,NEG003,Bazar de Lucía,2025-04-06,16:21:24,2025-04-06 16:21:30,27.92,CLI210,Verónica Tapia,VEN101,Lucía Mendoza,Sunday,4,2025,16
TXN004738,NEG003,Bazar de Lucía,2025-04-06,17:19:02,2025-04-06 17:19:31,59.78,CLI202,Natalia Cruz,VEN101,Lucía Mendoza,Sunday,4,2025,17
TXN004739,NEG003,Bazar de Lucía,2025-04-06,12:03:43,2025-04-06 12:03:53,59.78,CLI205,Héctor Zambrano,VEN101,Lucía Mendoza,Sunday,4,2025,12
TXN004740,NEG003,Bazar de Lucía,2025-04-06,16:29:40,2025-04-06 16:29:55,57.65,CLI201,Tomás Flores,VEN103,Karen Soto,Sunday,4,2025,16
TXN004741,NEG003,Bazar de Lucía,2025-04-06,12:20:32,2025-04-06 12:20:34,41.17,CLI205,Héctor Zambrano,VEN101,Lucía Mendoza,Sunday,4,2025,12
TXN004742,NEG003,Bazar de Lucía,2025-04-06,12:24:45,2025-04-06 12:24:32,37.11,CLI201,Tomás Flores,VEN101,Lucía Mendoza,Sunday,4,2025,12
TXN004743,NEG003,Bazar de Lucía,2025-04-06,14:18:37,2025-04-06 14:18:38,5.75,CLI208,Diana Salazar,VEN101,Lucía Mendoza,Sunday,4,2025,14
TXN004744,NEG003,Bazar de Lucía,2025-04-06,14:08:46,2025-04-06 14:08:11,57.47,CLI203,Ricardo Mejía,VEN102,Byron Chica,Sunday,4,2025,14
TXN004745,NEG003,Bazar de Lucía,2025-04-07,11:59:10,2025-04-07 11:59:29,50.17,CLI207,César Muñoz,VEN101,Lucía Mendoza,Monday,4,2025,11
TXN004746,NEG003,Bazar de Lucía,2025-04-07,12:20:18,2025-04-07 12:20:39,43.19,CLI206,Lorena Aguirre,VEN102,Byron Chica,Monday,4,2025,12
TXN004747,NEG003,Bazar de Lucía,2025-04-08,13:38:15,2025-04-08 13:38:17,42.95,CLI202,Natalia Cruz,VEN103,Karen Soto,Tuesday,4,2025,13
TXN004748,NEG003,Bazar de Lucía,2025-04-08,16:31:56,2025-04-08 16:31:02,9.12,CLI203,Ricardo Mejía,VEN101,Lucía Mendoza,Tuesday,4,2025,16
TXN004749,NEG003,Bazar de Lucía,2025-04-09,14:20:02,2025-04-09 14:20:58,25.25,CLI206,Lorena Aguirre,VEN103,Karen Soto,Wednesday,4,2025,14
TXN004750,NEG003,Bazar de Lucía,2025-04-09,11:02:12,2025-04-09 11:02:26,7.25,CLI201,Tomás Flores,VEN101,Lucía Mendoza,Wednesday,4,2025,11
TXN004751,NEG003,Bazar de Lucía,2025-04-09,13:16:51,2025-04-09 13:16:30,56.54,CLI207,César Muñoz,VEN101,Lucía Mendoza,Wednesday,4,2025,13
TXN004752,NEG003,Bazar de Lucía,2025-04-10,10:49:42,2025-04-10 10:49:38,13.81,CLI204,Sandra Pinto,VEN101,Lucía Mendoza,Thursday,4,2025,10
TXN004753,NEG003,Bazar de Lucía,2025-04-10,10:40:00,2025-04-10 10:40:53,13.11,CLI205,Héctor Zambrano,VEN102,Byron Chica,Thursday,4,2025,10
TXN004754,NEG003,Bazar de Lucía,2025-04-10,15:20:09,2025-04-10 15:20:10,6.63,CLI206,Lorena Aguirre,VEN101,Lucía Mendoza,Thursday,4,2025,15
TXN004755,NEG003,Bazar de Lucía,2025-04-10,11:58:40,2025-04-10 11:58:01,58.81,CLI205,Héctor Zambrano,VEN101,Lucía Mendoza,Thursday,4,2025,11
TXN004756,NEG003,Bazar de Lucía,2025-04-11,13:18:00,2025-04-11 13:18:59,28.06,CLI206,Lorena Aguirre,VEN101,Lucía Mendoza,Friday,4,2025,13
TXN004757,NEG003,Bazar de Lucía,2025-04-11,13:23:21,2025-04-11 13:23:03,25.33,CLI207,César Muñoz,VEN101,Lucía Mendoza,Friday,4,2025,13
TXN004758,NEG003,Bazar de Lucía,2025-04-11,11:26:31,2025-04-11 11:26:31,16.67,CLI203,Ricardo Mejía,VEN101,Lucía Mendoza,Friday,4,2025,11
TXN004759,NEG003,Bazar de Lucía,2025-04-11,17:38:14,2025-04-11 17:38:41,49.11,CLI203,Ricardo Mejía,VEN102,Byron Chica,Friday,4,2025,17
TXN004760,NEG003,Bazar de Lucía,2025-04-12,15:54:16,2025-04-12 15:54:43,59.24,CLI205,Héctor Zambrano,VEN101,Lucía Mendoza,Saturday,4,2025,15
TXN004761,NEG003,Bazar de Lucía,2025-04-12,15:02:15,2025-04-12 15:02:25,6.61,CLI202,Natalia Cruz,VEN101,Lucía Mendoza,Saturday,4,2025,15
TXN004762,NEG003,Bazar de Lucía,2025-04-12,18:24:27,2025-04-12 18:24:56,44.65,CLI210,Verónica Tapia,VEN102,Byron Chica,Saturday,4,2025,18
TXN004763,NEG003,Bazar de Lucía,2025-04-12,18:01:36,2025-04-12 18:01:28,15.11,CLI206,Lorena Aguirre,VEN101,Lucía Mendoza,Saturday,4,2025,18
TXN004764,NEG003,Bazar de Lucía,2025-04-12,14:21:38,2025-04-12 14:21:02,42.21,CLI203,Ricardo Mejía,VEN101,Lucía Mendoza,Saturday,4,2025,14
TXN004765,NEG003,Bazar de Lucía,2025-04-12,15:41:04,2025-04-12 15:41:21,56.62,CLI204,Sandra Pinto,VEN103,Karen Soto,Saturday,4,2025,15
TXN004766,NEG003,Bazar de Lucía,2025-04-12,19:06:13,2025-04-12 19:06:16,14.5,CLI201,Tomás Flores,VEN101,Lucía Mendoza,Saturday,4,2025,19
TXN004767,NEG003,Bazar de Lucía,2025-04-12,13:39:10,2025-04-12 13:39:58,6.82,CLI203,Ricardo Mejía,VEN101,Lucía Mendoza,Saturday,4,2025,13
TXN004768,NEG003,Bazar de Lucía,2025-04-12,10:24:43,2025-04-12 10:24:15,15.03,CLI201,Tomás Flores,VEN101,Lucía Mendoza,Saturday,4,2025,10
TXN004769,NEG003,Bazar de Lucía,2025-04-13,12:37:38,2025-04-13 12:37:10,45.41,CLI207,César Muñoz,VEN101,Lucía Mendoza,Sunday,4,2025,12
TXN004770,NEG003,Bazar de Lucía,2025-04-13,18:58:00,2025-04-13 18:58:54,25.79,CLI205,Héctor Zambrano,VEN101,Lucía Mendoza,Sunday,4,2025,18
TXN004771,NEG003,Bazar de Lucía,2025-04-13,14:14:26,2025-04-13 14:14:02,6.37,CLI201,Tomás Flores,VEN101,Lucía Mendoza,Sunday,4,2025,14
TXN004772,NEG003,Bazar de Lucía,2025-04-13,09:57:41,2025-04-13 09:57:29,35.76,CLI208,Diana Salazar,VEN101,Lucía Mendoza,Sunday,4,2025,9
