transaction_id,business_id,business_name,date,time,datetime,amount,client_id,client_name,vendor_id,vendor_name,weekday,month,year,hour
TXN002085,NEG002,Cafetería Don Roberto,2025-04-01,18:31:26,2025-04-01 18:31:14,2.31,CLI102,Diego Sánchez,,,Tuesday,4,2025,18
TXN002086,NEG002,Cafetería Don Roberto,2025-04-01,09:10:17,2025-04-01 09:10:06,7.3,CLI109,Isabella Vargas,,,Tuesday,4,2025,9
TXN002087,NEG002,Cafetería Don Roberto,2025-04-01,09:19:54,2025-04-01 09:19:24,4.33,CLI108,Fernando López,,,Tuesday,4,2025,9
TXN002088,NEG002,Cafetería Don Roberto,2025-04-01,07:06:28,2025-04-01 07:06:28,7.01,CLI103,Valeria Ortiz,,,Tuesday,4,2025,7
TXN002089,NEG002,Cafetería Don Roberto,2025-04-01,08:54:34,2025-04-01 08:54:48,5.5,CLI103,Valeria Ortiz,,,Tuesday,4,2025,8
TXN002090,NEG002,Cafetería Don Roberto,2025-04-02,13:27:20,2025-04-02 13:27:01,6.63,CLI104,Andrés Calle,,,Wednesday,4,2025,13
TXN002091,NEG002,Cafetería Don Roberto,2025-04-02,09:24:23,2025-04-02 09:24:09,6.95,CLI105,Gabriela Núñez,,,Wednesday,4,2025,9
TXN002092,NEG002,Cafetería Don Roberto,2025-04-02,15:53:50,2025-04-02 15:53:25,6.04,CLI103,Valeria Ortiz,,,Wednesday,4,2025,15
TXN002093,NEG002,Cafetería Don Roberto,2025-04-02,08:22:18,2025-04-02 08:22:57,4.13,CLI102,Diego Sánchez,,,Wednesday,4,2025,8
TXN002094,NEG002,Cafetería Don Roberto,2025-04-03,11:01:41,2025-04-03 11:01:44,5.96,CLI105,Gabriela Núñez,,,Thursday,4,2025,11
TXN002095,NEG002,Cafetería Don Roberto,2025-04-03,09:51:23,2025-04-03 09:51:24,1.64,CLI105,Gabriela Núñez,,,Thursday,4,2025,9
TXN002096,NEG002,Cafetería Don Roberto,2025-04-03,08:46:27,2025-04-03 08:46:16,4.39,CLI103,Valeria Ortiz,,,Thursday,4,2025,8
TXN002097,NEG002,Cafetería Don Roberto,2025-04-03,08:23:10,2025-04-03 08:23:10,7.43,CLI102,Diego Sánchez,,,Thursday,4,2025,8
TXN002098,NEG002,Cafetería Don Roberto,2025-04-04,12:38:02,2025-04-04 12:38:24,4.95,CLI102,Diego Sánchez,,,Friday,4,2025,12
TXN002099,NEG002,Cafetería Don Roberto,2025-04-04,07:05:39,2025-04-04 07:05:44,6.1,CLI102,Diego Sánchez,,,Friday,4,2025,7
TXN002100,NEG002,Cafetería Don Roberto,2025-04-04,11:05:09,2025-04-04 11:05:18,4.91,CLI102,Diego Sánchez,,,Friday,4,2025,11
TXN002101,NEG002,Cafetería Don Roberto,2025-04-04,08:17:26,2025-04-04 08:17:19,7.16,CLI102,Diego Sánchez,,,Friday,4,2025,8
TXN002102,NEG002,Cafetería Don Roberto,2025-04-05,07:39:50,2025-04-05 07:39:55,1.84,CLI106,Sebastián Paz,,,Saturday,4,2025,7
TXN002103,NEG002,Cafetería Don Roberto,2025-04-05,17:11:27,2025-04-05 17:11:57,3.37,CLI104,Andrés Calle,,,Saturday,4,2025,17
TXN002104,NEG002,Cafetería Don Roberto,2025-04-05,07:51:04,2025-04-05 07:51:04,7.75,CLI105,Gabriela Núñez,,,Saturday,4,2025,7
TXN002105,NEG002,Cafetería Don Roberto,2025-04-05,14:52:49,2025-04-05 14:52:29,6.59,CLI104,Andrés Calle,,,Saturday,4,2025,14
TXN002106,NEG002,Cafetería Don Roberto,2025-04-06,07:09:50,2025-04-06 07:09:00,4.97,CLI102,Diego Sánchez,,,Sunday,4,2025,7
TXN002107,NEG002,Cafetería Don Roberto,2025-04-06,07:49:32,2025-04-06 07:49:32,3.27,CLI107,Camila Reyes,,,Sunday,4,2025,7
TXN002108,NEG002,Cafetería Don Roberto,2025-04-06,12:08:54,2025-04-06 12:08:08,2.59,CLI104,Andrés Calle,,,Sunday,4,2025,12
TXN002109,NEG002,Cafetería Don Roberto,2025-04-06,09:53:29,2025-04-06 09:53:15,3.89,CLI107,Camila Reyes,,,Sunday,4,2025,9
TXN002110,NEG002,Cafetería Don Roberto,2025-04-06,09:07:38,2025-04-06 09:07:48,6.14,CLI102,Diego Sánchez,,,Sunday,4,2025,9
TXN002111,NEG002,Cafetería Don Roberto,2025-04-07,08:00:31,2025-04-07 08:00:43,3.37,CLI104,Andrés Calle,,,Monday,4,2025,8
TXN002112,NEG002,Cafetería Don Roberto,2025-04-07,15:34:29,2025-04-07 15:34:41,6.22,CLI109,Isabella Vargas,,,Monday,4,2025,15
TXN002113,NEG002,Cafetería Don Roberto,2025-04-07,11:50:47,2025-04-07 11:50:25,5.44,CLI106,Sebastián Paz,,,Monday,4,2025,11
TXN002114,NEG002,Cafetería Don Roberto,2025-04-08,11:10:51,2025-04-08 11:10:02,4.77,CLI104,Andrés Calle,,,Tuesday,4,2025,11
TXN002115,NEG002,Cafetería Don Roberto,2025-04-08,09:23:57,2025-04-08 09:23:26,6.97,CLI101,Sofía Lema,,,Tuesday,4,2025,9
TXN002116,NEG002,Cafetería Don Roberto,2025-04-08,08:23:48,2025-04-08 08:23:01,1.66,CLI104,Andrés Calle,,,Tuesday,4,2025,8
TXN002117,NEG002,Cafetería Don Roberto,2025-04-08,09:48:50,2025-04-08 09:48:48,2.46,CLI108,Fernando López,,,Tuesday,4,2025,9
TXN002118,NEG002,Cafetería Don Roberto,2025-04-08,15:50:01,2025-04-08 15:50:57,3.46,CLI102,Diego Sánchez,,,Tuesday,4,2025,15
TXN002119,NEG002,Cafetería Don Roberto,2025-04-09,08:25:56,2025-04-09 08:25:13,4.53,CLI104,Andrés Calle,,,Wednesday,4,2025,8
TXN002120,NEG002,Cafetería Don Roberto,2025-04-09,08:03:40,2025-04-09 08:03:59,3.09,CLI101,Sofía Lema,,,Wednesday,4,2025,8
TXN002121,NEG002,Cafetería Don Roberto,2025-04-09,08:03:56,2025-04-09 08:03:41,3.78,CLI109,Isabella Vargas,,,Wednesday,4,2025,8
TXN002122,NEG002,Cafetería Don Roberto,2025-04-09,07:38:35,2025-04-09 07:38:30,3.41,CLI108,Fernando López,,,Wednesday,4,2025,7
TXN002123,NEG002,Cafetería Don Roberto,2025-04-10,13:04:59,2025-04-10 13:04:32,3.79,CLI102,Diego Sánchez,,,Thursday,4,2025,13
TXN002124,NEG002,Cafetería Don Roberto,2025-04-10,07:09:03,2025-04-10 07:09:01,6.34,CLI105,Gabriela Núñez,,,Thursday,4,2025,7
TXN002125,NEG002,Cafetería Don Roberto,2025-04-10,12:33:21,2025-04-10 12:33:51,3.91,CLI104,Andrés Calle,,,Thursday,4,2025,12
TXN002126,NEG002,Cafetería Don Roberto,2025-04-11,08:18:37,2025-04-11 08:18:07,3.89,CLI107,Camila Reyes,,,Friday,4,2025,8
TXN002127,NEG002,Cafetería Don Roberto,2025-04-11,18:31:42,2025-04-11 18:31:49,4.32,CLI104,Andrés Calle,,,Friday,4,2025,18
TXN002128,NEG002,Cafetería Don Roberto,2025-04-11,12:36:09,2025-04-11 12:36:59,4.79,CLI110,Mateo Herrera,,,Friday,4,2025,12
